          E_LAB                 k_cm                  sgt            sigma_sgt
 0.32915993E+03       0.19914354E+01       0.34064309E+02       0.55624156E-01
 0.33960839E+03       0.20227953E+01       0.33730289E+02       0.63016373E-01
 0.27497562E+03       0.18201611E+01       0.36264212E+02       0.39191434E-01
 0.26012192E+03       0.17703177E+01       0.37084058E+02       0.39117541E-01
 0.14638602E+03       0.13280442E+01       0.52654877E+02       0.43342483E-01
 0.29625053E+03       0.18892625E+01       0.35280934E+02       0.41609064E-01
 0.30968533E+03       0.19316260E+01       0.34748162E+02       0.45601907E-01
 0.10216388E+03       0.11094594E+01       0.73199630E+02       0.57563403E-01
 0.25966215E+03       0.17687524E+01       0.37111554E+02       0.39124579E-01
 0.75372233E+02       0.95294627E+00       0.10216049E+03       0.79514452E-01
 0.15638178E+03       0.13726373E+01       0.50004863E+02       0.41837870E-01
 0.13980434E+02       0.41041484E+00       0.69571030E+03       0.21689249E+00
 0.51995524E+02       0.79149049E+00       0.15951439E+03       0.11899152E+00
 0.33623883E+03       0.20127353E+01       0.33835919E+02       0.60488797E-01
 0.23604300E+03       0.16863911E+01       0.38735202E+02       0.39568473E-01
