                E_LAB                 k_cm                 sgtt           sigma_sgtt
       0.10983140E+03       0.11503394E+01      -0.12206319E+02       0.16505241E+00
       0.15875297E+03       0.13830047E+01      -0.41719358E+01       0.12851988E+00
       0.12115695E+03       0.12081946E+01      -0.97303417E+01       0.15146385E+00
       0.13778767E+03       0.12884510E+01      -0.68745469E+01       0.13679037E+00
       0.57249770E+02       0.83051904E+00      -0.37075630E+02       0.26474432E+00
       0.19094282E+03       0.15167514E+01      -0.12183711E+01       0.13580664E+00
       0.31132360E+03       0.19367286E+01       0.42068740E+01       0.18931927E+00
       0.19902995E+03       0.15485383E+01      -0.62999975E+00       0.13998668E+00
       0.30702689E+03       0.19233173E+01       0.40997474E+01       0.18773365E+00
       0.48599882E+02       0.76520945E+00      -0.45993308E+02       0.29146513E+00
       0.21792648E+03       0.16203832E+01       0.57088763E+00       0.15083936E+00
       0.19813048E+03       0.15450352E+01      -0.69301545E+00       0.13949812E+00
       0.18234197E+02       0.46871196E+00      -0.11468806E+03       0.48737583E+00
       0.57653187E+01       0.26355689E+00      -0.53824200E+02       0.80754485E+00
       0.99528694E+02       0.10950574E+01      -0.14981387E+02       0.17963772E+00
       0.28828607E+03       0.18636938E+01       0.35762062E+01       0.18144745E+00
