 energy, k, experimental_value, sigma, rxn_type, observable
 0.27832370E+03,        0.18312087E+01,        0.36096020E+02,        0.39337959E-01, NP  ,   SGT 
 0.32992917E+03,        0.19937609E+01,        0.34039036E+02,        0.56122631E-01, NP  ,   SGT 
 0.18122835E+03,        0.14776644E+01,        0.45029633E+02,        0.39861847E-01, NP  ,   SGT 
 0.25356197E+03,        0.17478524E+01,        0.37489853E+02,        0.39240040E-01, NP  ,   SGT 
 0.14332610E+03,        0.13140908E+01,        0.53563854E+02,        0.43899871E-01, NP  ,   SGT 
 0.24748125E+02,        0.54605180E+00,        0.38410284E+03,        0.17264485E+00, NP  ,   SGT 
 0.46170345E+02,        0.74583763E+00,        0.18444693E+03,        0.13159834E+00, NP  ,   SGT 
 0.17854509E+03,        0.14666843E+01,        0.45479130E+02,        0.39973348E-01, NP  ,   SGT 
 0.32324045E+03,        0.19734474E+01,        0.34262829E+02,        0.52043311E-01, NP  ,   SGT 
 0.54910091E+02,        0.81337124E+00,        0.14923434E+03,        0.11295073E+00, NP  ,   SGT 
 0.14113785E+03,        0.13040206E+01,        0.54245590E+02,        0.44328365E-01, NP  ,   SGT 
 0.73215660E+02,        0.93921435E+00,        0.10566942E+03,        0.82230531E-01, NP  ,   SGT 
 0.30649078E+03,        0.19216374E+01,        0.34869705E+02,        0.44443492E-01, NP  ,   SGT 
 0.10685845E+03,        0.11346637E+01,        0.69952225E+02,        0.55217434E-01, NP  ,   SGT 
 0.12209410E+03,        0.12128583E+01,        0.61563255E+02,        0.49260844E-01, NP  ,   SGT 
 0.11874844E+03,        0.11961253E+01,        0.63169323E+02,        0.50387468E-01, NP  ,   SGT 
 0.27739185E+03,        0.18281406E+01,        0.36142273E+02,        0.39290536E-01, NP  ,   SGT 
 0.34737515E+03,        0.20457950E+01,        0.33493465E+02,        0.69329940E-01, NP  ,   SGT 
 0.17336398E+03,        0.14452473E+01,        0.46400372E+02,        0.40250968E-01, NP  ,   SGT 
 0.91926048E+02,        0.10524029E+01,        0.81785141E+02,        0.63886382E-01, NP  ,   SGT 
 0.16681929E+02,        0.44831765E+00,        0.58419714E+03,        0.19485383E+00, NP  ,   SGT 
 0.21079030E+03,        0.15936320E+01,        0.41072441E+02,        0.39590780E-01, NP  ,   SGT 
 0.22005008E+03,        0.16282589E+01,        0.40126968E+02,        0.39635010E-01, NP  ,   SGT 
 0.32915994E+03,        0.19914354E+01,        0.34064308E+02,        0.55624157E-01, NP  ,   SGT 
 0.33960840E+03,        0.20227952E+01,        0.33730289E+02,        0.63016370E-01, NP  ,   SGT 
 0.27497562E+03,        0.18201611E+01,        0.36264214E+02,        0.39191432E-01, NP  ,   SGT 
 0.26012192E+03,        0.17703177E+01,        0.37084057E+02,        0.39117541E-01, NP  ,   SGT 
 0.14638602E+03,        0.13280442E+01,        0.52654877E+02,        0.43342482E-01, NP  ,   SGT 
 0.29625052E+03,        0.18892626E+01,        0.35280933E+02,        0.41609064E-01, NP  ,   SGT 
 0.30968533E+03,        0.19316260E+01,        0.34748161E+02,        0.45601908E-01, NP  ,   SGT 
 0.10216388E+03,        0.11094594E+01,        0.73199631E+02,        0.57563402E-01, NP  ,   SGT 
 0.25966214E+03,        0.17687525E+01,        0.37111553E+02,        0.39124578E-01, NP  ,   SGT 
 0.75372231E+02,        0.95294625E+00,        0.10216049E+03,        0.79514451E-01, NP  ,   SGT 
 0.15638177E+03,        0.13726373E+01,        0.50004864E+02,        0.41837871E-01, NP  ,   SGT 
 0.13980434E+02,        0.41041484E+00,        0.69571033E+03,        0.21689250E+00, NP  ,   SGT 
 0.51995525E+02,        0.79149050E+00,        0.15951439E+03,        0.11899152E+00, NP  ,   SGT 
 0.33623883E+03,        0.20127354E+01,        0.33835918E+02,        0.60488798E-01, NP  ,   SGT 
 0.23604300E+03,        0.16863911E+01,        0.38735203E+02,        0.39568473E-01, NP  ,   SGT 
 0.12434198E+03,        0.12239724E+01,       -0.91203032E+01,        0.14814165E+00, NP  ,   SGTT
 0.71916847E+02,        0.93084645E+00,       -0.26516785E+02,        0.22924425E+00, NP  ,   SGTT
 0.20275069E+03,        0.15629457E+01,       -0.37539744E+00,        0.14205359E+00, NP  ,   SGTT
 0.27870544E+03,        0.18324640E+01,        0.32705657E+01,        0.17834117E+00, NP  ,   SGTT
 0.21415923E+03,        0.16063164E+01,        0.34884176E+00,        0.14864755E+00, NP  ,   SGTT
 0.18955151E+03,        0.15112153E+01,       -0.13247660E+01,        0.13514563E+00, NP  ,   SGTT
 0.77091194E+02,        0.96375161E+00,       -0.23718971E+02,        0.21859874E+00, NP  ,   SGTT
 0.27354990E+03,        0.18154362E+01,        0.30946009E+01,        0.17661496E+00, NP  ,   SGTT
 0.33070575E+03,        0.19961060E+01,        0.46351805E+01,        0.19764811E+00, NP  ,   SGTT
 0.28206409E+03,        0.18434722E+01,        0.33808093E+01,        0.17943940E+00, NP  ,   SGTT
 0.13132700E+03,        0.12578815E+01,       -0.78925328E+01,        0.14168632E+00, NP  ,   SGTT
 0.32849597E+03,        0.19894259E+01,        0.45907073E+01,        0.19658685E+00, NP  ,   SGTT
