t_lab,observable,error
13.42570429,-130.99001374,.56042966
19.19211864,-111.18392759,.47578765
47.48393309,-47.33905211,.29539714
19.23873886,-111.01510534,.47523927
49.66107066,-44.74547831,.28787604
70.30487868,-27.46401077,.23273973
43.76389647,-52.26572201,.30941556
29.84932060,-78.47288095,.38133512
46.48696058,-48.59504621,.29900114
67.40098969,-29.29440810,.23923450
6.32852250,-78.26354701,.77598105
32.87084064,-71.46228285,.36226039
74.60856706,-25.00682336,.22362520
57.46873020,-36.87335895,.26415330
59.51573050,-35.11881520,.25861383
15.66244661,-123.98419066,.52292853
19.44567418,-110.26737440,.47282495
49.21844453,-45.25688776,.28936824
60.61860527,-34.21885058,.25572584
74.81833726,-24.89416057,.22319511
2.41819697,578.07639786,1.17300135
10.68845944,-134.09226484,.61934585
69.82398792,-27.75694541,.23379485
27.15846409,-85.50947088,.40059804
59.69490061,-34.97051627,.25814022
3.14425670,289.48477969,1.04797329
52.54709718,-41.59487015,.27856781
69.64465809,-27.86718943,.23419033
22.18389514,-100.71689868,.44360759
27.67872041,-84.08662552,.39668520
51.40825206,-42.80128566,.28215703
7.81119633,-114.86817304,.70895213
8.79840436,-126.27812472,.67361693
41.22107830,-56.04482478,.31998933
21.34213687,-103.57458361,.45208892
15.91717285,-123.09011164,.51909534
48.11098094,-46.57161025,.29318331
21.61686902,-102.63349638,.44927559
30.44255584,-77.02552110,.37739280
66.60468851,-29.82318156,.24106954
73.10203419,-25.83468443,.22675141
9.97568261,-132.64714102,.63813027
59.17309192,-35.40472401,.25952444
56.18511443,-38.03299381,.26775498
10.32203989,-133.52624193,.62877997
42.11902932,-54.66871929,.31615389
73.26734165,-25.74220836,.22640511
49.54210382,-44.88216106,.28827532
54.67229641,-39.46269798,.27213738
5.54621547,-41.89503286,.82122420
.42252705,6704.10265884,2.68240786
33.16486987,-70.82610866,.36052992
18.13833538,-115.02702604,.48864470
11.59031636,-134.23209240,.59789111
16.49597817,-121.02266596,.51066691
74.40148204,-25.11865966,.22405102
50.80431355,-43.46020304,.28410387
36.59295565,-63.94981294,.34177905
12.84408570,-132.37938634,.57152932
21.45508990,-103.18670365,.45092682
1.09150831,2279.75717335,1.66391287
2.67826411,453.16104179,1.12265591
29.29105294,-79.86826800,.38514046
42.53771780,-54.04291360,.31440429
27.56589457,-84.39258630,.39752565
43.43634264,-52.73253607,.31072898
36.84025944,-63.48982790,.34051984
71.33975672,-26.84665157,.23049517
22.82256503,-98.60126061,.43743628
69.48860231,-27.96357461,.23453538
