t_lab,observable,error
204.28195845,41.81457406,.03956477
240.03296305,38.43281210,.03951693
315.21526789,34.54801287,.04793571
215.05786019,40.62704935,.03961963
311.25881897,34.69288430,.04622764
156.12801601,50.07249569,.04187509
340.37867912,33.70967361,.06361933
340.71396367,33.69930155,.06388099
158.78394213,49.43838729,.04154812
270.88092757,36.48160864,.03909653
254.02929125,37.46400681,.03923499
136.19167335,55.89900184,.04539922
130.45641204,58.01479070,.04681470
322.49199946,34.29188099,.05162915
216.68824883,40.46165663,.03962762
267.08838066,36.68757129,.03906735
132.13453164,57.37098956,.04637950
289.00981738,35.59781367,.04034054
264.51377662,36.83211936,.03907416
339.40354678,33.73993962,.06286562
317.18547192,34.47739260,.04886527
280.59363694,35.98887181,.03948107
182.29327175,44.86135826,.03982777
178.90191269,45.42357320,.03996177
158.57811865,49.48653018,.04157238
333.36267844,33.93093950,.05844447
82.90967208,91.63574406,.07136642
246.56705382,37.96096538,.03939484
216.89279780,40.44115316,.03962856
223.07614330,39.84620454,.03964572
102.93823023,72.64513149,.05716240
327.07787775,34.13668433,.05431904
212.90216725,40.85121637,.03960794
320.97305935,34.34430697,.05079944
120.25593536,62.43820187,.04987508
202.53797376,42.02345732,.03956018
191.26668466,43.50213690,.03961523
85.15292091,88.94187410,.06930016
160.81283242,48.97248997,.04131848
89.89590108,83.79382320,.06539352
186.51658379,44.19953149,.03970420
195.09525609,42.97349506,.03957580
159.31848780,49.31411992,.04148595
300.59579000,35.10579939,.04265824
338.42364969,33.77050622,.06211923
199.84943094,42.35540251,.03955830
112.46929524,66.52829124,.05276855
91.60945810,82.09746355,.06412034
174.05299313,46.27899622,.04021347
275.67328297,36.23252876,.03922082
332.04370011,33.97349401,.05753764
329.91916275,34.04272288,.05612242
158.62021165,49.47667108,.04156741
107.32955338,69.65356407,.05500415
250.70642675,37.68008632,.03930633
88.31876309,85.42875903,.06662750
252.14912563,37.58527289,.03927507
314.83754029,34.56166526,.04776350
326.02026525,34.17207848,.05367428
317.94128835,34.45055870,.04923580
301.08655151,35.08601344,.04279054
212.66541566,40.87622505,.03960661
169.90914043,47.06222983,.04049003
305.88214575,34.89676362,.04424287
345.26381719,33.56022063,.06755541
273.88015479,36.32431699,.03916118
148.37969960,52.09489020,.04300962
139.50557499,54.77862525,.04467022
146.37225336,52.66494919,.04334996
280.44173685,35.99622021,.03947068
247.69604454,37.88302567,.03937116
132.00664181,57.41930666,.04641204
326.51740110,34.15541235,.05397555
115.03142177,65.10346212,.05175593
293.01125837,35.42223432,.04097554
122.97449834,61.16610566,.04898526
127.14796627,59.34905203,.04772659
309.29484622,34.76638777,.04545807
127.55570920,59.17975567,.04761023
335.87265292,33.85082284,.06022875
294.07937008,35.37641215,.04117313
180.65466993,45.12945320,.03988843
78.63036700,97.30989426,.07575131
300.63727982,35.10412355,.04266931
152.58234456,50.96455494,.04235994
146.98455874,52.48891348,.04324404
312.98901751,34.62901552,.04694857
85.48987224,88.55243262,.06900258
209.86667043,41.17787379,.03959079
280.24974816,36.00552339,.03945777
98.60684263,75.93378316,.05955776
76.74980109,100.05242494,.07787857
221.77280646,39.96771672,.03964422
271.23812401,36.46262268,.03910213
166.54059851,47.73743838,.04075991
120.16757901,62.48079823,.04990498
160.50025977,49.04325526,.04135275
345.91976518,33.54041550,.06810375
318.67930653,34.42449165,.04960504
81.15051345,93.87866431,.07309555
