 E_LAB, k_cm, exp_val, sigma, rxn_type, observable
 0.15766380E+03,        0.13782523E+01,       -0.42937560E+01,        0.12866147E+00, NP  , SGTT
 0.27469070E+03,        0.18192179E+01,        0.31342540E+01,        0.17700218E+00, NP  , SGTT
 0.22986952E+03,        0.16641920E+01,        0.12249583E+01,        0.15757626E+00, NP  , SGTT
 0.21050497E+02,        0.50360948E+00,       -0.10459361E+03,        0.45507136E+00, NP  , SGTT
 0.20954218E+03,        0.15889069E+01,        0.65486901E-01,        0.14595518E+00, NP  , SGTT
 0.25948898E+03,        0.17681625E+01,        0.25707211E+01,        0.17148349E+00, NP  , SGTT
 0.12866003E+03,        0.12450436E+01,       -0.83445520E+01,        0.14401273E+00, NP  , SGTT
 0.33444556E+03,        0.20073607E+01,        0.47080002E+01,        0.19951513E+00, NP  , SGTT
 0.33747955E+03,        0.20164454E+01,        0.47648544E+01,        0.20109595E+00, NP  , SGTT
 0.17553130E+03,        0.14542531E+01,       -0.24933214E+01,        0.12990507E+00, NP  , SGTT
 0.34832065E+03,        0.20485773E+01,        0.49522562E+01,        0.20722243E+00, NP  , SGTT
 0.21631721E+03,        0.16143893E+01,        0.47701257E+00,        0.14990491E+00, NP  , SGTT
 0.16964955E+03,        0.14296808E+01,       -0.30426676E+01,        0.12870717E+00, NP  , SGTT
 0.26700299E+03,        0.17935801E+01,        0.28589263E+01,        0.17431782E+00, NP  , SGTT
 0.13143677E+03,        0.12584071E+01,       -0.78743443E+01,        0.14159431E+00, NP  , SGTT
 0.39677959E+02,        0.69141275E+00,       -0.58532181E+02,        0.32683492E+00, NP  , SGTT
 0.16790171E+02,        0.44976979E+00,       -0.11997050E+03,        0.50645930E+00, NP  , SGTT
 0.28197580E+03,        0.18431839E+01,        0.33779552E+01,        0.17941073E+00, NP  , SGTT
 0.29134656E+03,        0.18735603E+01,        0.36682322E+01,        0.18243462E+00, NP  , SGTT
 0.31026282E+03,        0.19334261E+01,        0.41808538E+01,        0.18892056E+00, NP  , SGTT
 0.12587705E+03,        0.12315046E+01,       -0.88380232E+01,        0.14662351E+00, NP  , SGTT
 0.10983140E+03,        0.11503394E+01,       -0.12206319E+02,        0.16505241E+00, NP  , SGTT
 0.15875298E+03,        0.13830047E+01,       -0.41719360E+01,        0.12851988E+00, NP  , SGTT
 0.12115695E+03,        0.12081946E+01,       -0.97303419E+01,        0.15146385E+00, NP  , SGTT
 0.13778767E+03,        0.12884510E+01,       -0.68745470E+01,        0.13679036E+00, NP  , SGTT
