energy,scattering_angle,experimental_value,statistical_error,reaction_type,observable,systematic_error,normalization
202.699997,  0.000000,  -30.20998,  0.66000,PP,   SGTL, 0.069,-1.000
206.000000,  0.000000,  -27.84998,  1.50000,PP,   SGTL, 0.050,-1.000
286.000000,  0.000000,  -27.84998,  0.90000,PP,   SGTL,-0.050,-1.000
295.000000,  0.000000,  -24.89200,  1.00000,PP,   SGTL, 0.005,-1.000
302.899994,  0.000000,  -25.31000,  0.64000,PP,   SGTL, 0.000, 1.000
325.600006,  0.000000,  -25.51999,  1.21000,PP,   SGTL, 0.069,-1.000
328.000000,  0.000000,  -23.19698,  1.00000,PP,   SGTL,-0.005,-1.000
