energy,scattering_angle,experimental_value,statistical_error,reaction_type,observable,systematic_error,normalization
 37.000000,173.000000,   21.50000,  1.70000,NP,   DSG*, 0.025,-1.000
 42.200001,173.000000,   18.20000,  1.30000,NP,   DSG*, 0.025,-1.000
 47.299999,173.000000,   18.59998,  0.70000,NP,   DSG*, 0.025,-1.000
 52.400002,173.000000,   16.39998,  0.80000,NP,   DSG*, 0.025,-1.000
 57.400002,173.000000,   15.10000,  1.00000,NP,   DSG*, 0.025,-1.000
 62.500000,173.000000,   14.60000,  1.00000,NP,   DSG*, 0.025,-1.000
 72.599998,173.000000,   11.80000,  0.90000,NP,   DSG*, 0.025,-1.000
